Name                    ,aptitude               ,snap                      ,flatpak                                   ,Description
Falkon                  ,falkon                 ,falkon                    ,                                          ,lightweight web browser based on Qt WebEngine
fastboot                ,fastboot               ,                          ,                                          ,Android fastboot tool
ffmpeg                  ,ffmpeg                 ,ffmpeg                    ,                                          ,Tools for transcoding streaming and playing of multimedia files
figlet                  ,figlet                 ,figlet                    ,                                          ,Make large character ASCII banners out of ordinary text
File-Roller             ,file-roller            ,                          ,                                          ,archive manager for GNOME
FileLight               ,filelight              ,filelight                 ,                                          ,show where your diskspace is being used
FileZilla               ,filezilla              ,                          ,org.filezillaproject.Filezilla            ,Full-featured graphical FTP/FTPS/SFTP client
Filius                  ,                       ,                          ,de.lernsoftware_filius.Filius             ,Filius is a network simulator for educational purpose.
FlightGear              ,                       ,                          ,org.flightgear.FlightGear                 ,A free and highly sophisticated flight simulator
Foliate                 ,                       ,foliate                   ,com.github.johnfactotum.Foliate           ,Lea libros electrónicos con estilo
Folio                   ,                       ,                          ,com.toolstack.Folio                       ,Toma apuntes en Markdown
fortune                 ,fortune                ,                          ,                                          ,Display a quotation (fortune) in a window for GNUstep
Fotema                  ,                       ,                          ,app.fotema.Fotema                         ,Admire your photos
Fragments               ,                       ,                          ,de.haeckerfelix.Fragments                 ,Manage torrents
FreeCAD                 ,                       ,freecad                   ,org.freecadweb.FreeCAD                    ,An open source parametric 3D CAD modeler
Fretboard               ,                       ,                          ,dev.bragefuglseth.Fretboard               ,Look up guitar chords
Fritzing                ,fritzing               ,                          ,org.fritzing.Fritzing                     ,Easy-to-use electronic design software
fsarchiver              ,fsarchiver             ,                          ,                                          ,file system archiver
Funkcio                 ,                       ,                          ,im.bernard.Funkcio                        ,Draw functions from points
g++                     ,g++                    ,                          ,                                          ,GNU C++ compiler
Gameeky                 ,                       ,                          ,dev.tchx84.Gameeky                        ,Juega crea y aprende
Gapless                 ,                       ,                          ,com.github.neithern.g4music               ,Play your music elegantly
Gaia Sky                ,                       ,                          ,de.uni_heidelberg.zah.GaiaSky             ,Explore the universe in 3D
GBrainy                 ,gbrainy                ,                          ,org.gnome.gbrainy                         ,gbrainy is a game to train memory arithmetical verbal and logical skills.
gcc                     ,gcc                    ,                          ,                                          ,GNU C compiler
GCompris                ,gcompris-qt            ,gcompris                  ,org.kde.gcompris                          ,Juego educativo multiactividad para niños de 2 a 10 años
Geogebra                ,geogebra               ,                          ,org.geogebra.GeoGebra                     ,Dynamic mathematics software for education
Gimp                    ,gimp                   ,gimp                      ,org.gimp.GIMP                             ,GNU Image Manipulation Program
Git                     ,git                    ,                          ,                                          ,fast scalable distributed revision control system
GitG                    ,                       ,                          ,org.gnome.gitg                            ,Interfaz gráfica de usuario para git
GitK                    ,gitk                   ,                          ,                                          ,fast scalable distributed revision control system (revision tree visualizer)
GitKraken               ,                       ,gitkraken                 ,com.axosoft.GitKraken                     ,For repo management in-app code editing & issue tracking.
Gitnuro                 ,                       ,                          ,com.jetpackduba.Gitnuro                   ,Multiplatform Git client
Gnome Chess             ,gnome-chess            ,gnome-chess               ,org.gnome.Chess                           ,simple chess game
Gnome Characters        ,gnome-characters       ,gnome-characters          ,org.gnome.Sudoku                          ,character map application
Gnome Clocks            ,gnome-clocks           ,gnome-clocks              ,org.gnome.clocks                          ,Simple GNOME app with stopwatch timer and world clock support
Gnome Icon Theme        ,gnome-icon-theme       ,                          ,                                          ,This package contains the default icon theme used by the GNOME
Gnome Mines             ,gnome-mines            ,gnome-mines               ,org.gnome.Mines                           ,popular minesweeper puzzle game for GNOME
Gnome Network Displays  ,gnome-network-displays ,                          ,org.gnome.NetworkDisplays                 ,screencasting app for the GNOME desktop
Gnome Sudoku            ,gnome-sudoku           ,gnome-sudoku              ,org.gnome.Sudoku                          ,Sudoku puzzle game for GNOME
